"
",2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1975,1970,1960
"
Population on 31 December",10327589,10230185,10120242,9995153,9851017,9747355,9644864,9555893,9482855,9415570,9340682,9256347,9182927,9113257,9047752,9011392,8975670,8940788,8909128,8882792,8861426,8854322,8847625,8844499,8837496,8816381,8745109,8692013,8644119,8590630,8527036,8458888,8414083,8381515,8358139,8342621,8330573,8327484,8323033,8317937,8208442,8081229,7497967
"
Men",5195814,5142438,5082662,5013347,4930966,4872240,4814357,4765905,4726834,4690244,4649014,4603710,4563921,4523523,4486550,4466311,4446656,4427107,4408445,4392753,4380118,4375619,4371913,4369717,4366071,4356254,4320954,4294585,4270623,4244017,4212080,4175880,4152583,4137513,4127110,4120549,4116137,4117357,4118622,4119822,4081263,4035911,3740119
"
Women",5131775,5087747,5037580,4981806,4920051,4875115,4830507,4789988,4756021,4725326,4691668,4652637,4619006,4589734,4561202,4545081,4529014,4513681,4500683,4490039,4481308,4478703,4475712,4474782,4471425,4460127,4424155,4397428,4373496,4346613,4314956,4283008,4261500,4244002,4231029,4222072,4214436,4210127,4204411,4198115,4127179,4045318,3757848
"
Number of persons, 0-17 years",2180508,2155379,2121598,2076407,2025077,1985282,1952478,1928121,1919206,1919094,1921093,1924839,1931652,1933920,1934239,1939153,1941436,1940910,1938266,1937779,1940086,1947299,1956826,1965279,1967138,1962121,1934730,1914616,1899133,1880316,1860631,1847842,1838563,1836443,1844497,1865377,1893161,1925186,1956842,1977226,2012638,2007012,2046306
"
Persons aged 0-17 years in % of total population",21.1,21.1,21,20.8,20.6,20.4,20.2,20.2,20.2,20.4,20.6,20.8,21,21.2,21.4,21.5,21.6,21.7,21.8,21.8,21.9,22,22.1,22.2,22.3,22.3,22.1,22,22,21.9,21.8,21.8,21.9,21.9,22.1,22.4,22.7,23.1,23.5,23.8,24.5,24.8,27.3
"
Number of persons, 65 years and above",2065367,2035711,2006146,1976857,1947227,1912884,1872207,1828283,1784668,1737246,1690777,1645081,1608413,1581437,1565377,1554335,1541254,1533795,1532064,1530887,1532555,1537656,1542374,1543296,1543332,1540115,1536117,1534537,1531747,1526196,1517620,1504449,1493010,1477109,1454111,1424615,1409993,1395091,1377703,1362099,1250785,1113239,887964
"
Persons aged 65 years and above in % of total population",20,19.9,19.8,19.8,19.8,19.6,19.4,19.1,18.8,18.5,18.1,17.8,17.5,17.3,17.3,17.2,17.2,17.2,17.2,17.2,17.3,17.4,17.4,17.4,17.5,17.5,17.6,17.7,17.7,17.8,17.8,17.8,17.7,17.6,17.4,17.1,16.9,16.8,16.6,16.4,15.2,13.8,11.8
"
Household units 
1",4718271,4657395,4593508,4536214,4481746,4432614,4389007,4360368,4345582,"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
",3830037,"
","
","
","
",3670340,"
","
","
","
",3497801,3324956,3050354,2582151
"
Average number of residents per household 
2",2.19,2.19,2.2,2.2,2.19,2.19,2.19,2.19,2.18,"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
",2.14,"
","
","
","
",2.23,"
","
","
","
",2.32,2.41,2.59,2.84
"
Swedish citizens",9387009,9297919,9222906,9143204,9068184,9007920,8950202,8888661,8827755,8782278,8737789,8694223,8658439,8621261,8567853,8530251,8499594,8466689,8433142,8405480,8374251,8354391,8325576,8317905,8305699,8278940,8237569,8192941,8150271,8106926,8070987,8037865,8013109,7990675,7969498,7952056,7933433,7922009,7909032,7896270,7798548,7669949,7307346
"
Foreign citizens 
3",940580,932266,897336,851949,782833,739435,694662,667232,655100,633292,602893,562124,524488,491996,479899,481141,476076,474099,475986,477312,487175,499931,522049,526594,531797,537441,507540,499072,493848,483704,456049,421023,400974,390840,388641,390565,397140,405475,414001,421667,409894,411280,190621
"
Proportion of foreign citizens in %",9.1,9.1,8.9,8.5,7.9,7.6,7.2,7,6.9,6.7,6.5,6.1,5.7,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.5,5.6,5.9,6,6,6.1,5.8,5.7,5.7,5.6,5.3,5,4.8,4.7,4.6,4.7,4.8,4.9,5,5.1,5,5.1,2.5
"
Foreign-born",2019733,1955569,1877050,1784497,1676264,1603551,1533493,1473256,1427296,1384929,1337965,1281581,1227770,1175200,1125790,1100262,1078075,1053463,1027974,1003798,981633,968707,954231,943804,936022,922055,869067,834532,814176,790445,758454,717572,690143,669875,655649,645562,637461,635127,631950,626953,550451,537585,299879
"
Proportion foreign-born in %",19.6,19.1,18.5,17.9,17,16.5,15.9,15.4,15.1,14.7,14.3,13.8,13.4,12.9,12.4,12.2,12,11.8,11.5,11.3,11.1,10.9,10.8,10.7,10.6,10.5,9.9,9.6,9.4,9.2,8.9,8.5,8.2,8,7.8,7.7,7.7,7.6,7.6,7.5,6.7,6.7,4
"
Foreign-born who are Swedish citizens",1168202,1110727,1064041,1012941,969494,937016,908913,875227,841179,818574,799876,781935,764964,745711,711906,688152,673122,653994,631053,609189,581548,558211,525494,510632,497312,477859,455632,430837,413510,398534,391641,383877,374961,364055,352437,340760,327307,318828,309638,"
","
","
","
"
"
Proportion foreign-born who are Swedish citizens in %",57.8,56.8,56.7,56.8,57.8,58.4,59.3,59.4,58.9,59.1,59.8,61,62.3,63.5,63.2,62.5,62.4,62.1,61.4,60.7,59.2,57.6,55.1,54.1,53.1,51.8,52.4,51.6,50.8,50.4,51.6,53.5,54.3,54.3,53.8,52.8,51.3,50.2,49,"
","
","
","
"
"
Swedish-born with two foreign-born parents",615234,587851,561957,535805,510756,488655,467697,448736,430253,412960,395948,379422,364606,350977,337568,326031,315173,304751,294493,284449,273903,264012,241795,234960,224494,215763,"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
"
Foreign background 
4",2634967,2543420,2439007,2320302,2187020,2092206,2001190,1921992,1857549,1797889,1733913,1661003,1592376,1526177,1463358,1426293,1393248,1358214,1322467,1288247,1255536,1232719,1196026,1178764,1160516,1137818,"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
"
Proportion foreign background in % 
4",25.5,24.9,24.1,23.2,22.2,21.5,20.7,20.1,19.6,19.1,18.6,17.9,17.3,16.7,16.2,15.8,15.5,15.2,14.8,14.5,14.2,13.9,13.5,13.3,13.1,12.9,"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
"
Births",114523,115832,115416,117425,114870,114907,113593,113177,111770,115641,111801,109301,107421,105913,101346,100928,99157,95815,91466,90441,88173,89028,90502,95297,103422,112257,117998,122848,123737,123938,116023,112080,104699,101950,98463,93889,91780,92748,94065,97064,103632,110150,102219
"
Crude birth rate (per 1000)",11.1,11.4,11.5,11.8,11.7,11.9,11.8,11.9,11.8,12.3,12,11.9,11.7,11.7,11.2,11.2,11.1,10.7,10.3,10.2,10,10.1,10.2,10.8,11.7,12.8,13.5,14.2,14.4,14.5,13.7,13.3,12.5,12.2,11.8,11.3,11,11.1,11.3,11.7,12.6,13.7,13.7
"
Total fertility rate 
5",1.7,1.75,1.78,1.85,1.85,1.88,1.89,1.9,1.9,1.98,1.93,1.91,1.88,1.85,1.77,1.75,1.71,1.65,1.57,1.54,1.5,1.51,1.53,1.61,1.74,1.89,2,2.09,2.12,2.14,2.02,1.96,1.84,1.79,1.73,1.65,1.61,1.62,1.63,1.68,1.78,1.94,2.17
"
Deaths",88766,92185,91972,90982,90907,88976,90402,91938,89938,90487,90080,91449,91729,91177,91710,90532,92961,95009,93752,93461,94726,93271,93326,94133,93955,91844,97008,94710,95202,95161,92110,96743,93307,93295,94032,90483,90791,90671,92034,91800,88208,80026,75093
"
Crude death rate (per 1000)",8.6,9.1,9.1,9.2,9.3,9.2,9.4,9.7,9.5,9.6,9.7,9.9,10,10,10.2,10.1,10.4,10.6,10.5,10.5,10.7,10.5,10.6,10.6,10.6,10.5,11.1,10.9,11,11.1,10.8,11.5,11.1,11.1,11.3,10.9,10.9,10.9,11.1,11,10.8,10,10
"
Life expectancy, men 
6",81.3,80.8,80.7,80.6,80.3,80.4,80.1,79.9,79.8,79.5,79.3,79.1,78.9,78.7,78.4,78.4,77.9,77.7,77.5,77.4,77.1,76.9,76.7,76.5,76.2,76.1,75.5,75.4,74.9,74.8,74.8,74.2,74.2,74,73.8,73.8,73.6,73.4,73.1,72.8,72.1,72.2,71.2
"
Life expectancy, women 
6",84.7,84.3,84.1,84.1,84,84.1,83.7,83.5,83.7,83.5,83.3,83.1,83,82.9,82.8,82.7,82.4,82.1,82.1,82,81.9,81.9,81.8,81.5,81.5,81.4,80.8,80.8,80.5,80.4,80.6,80,80.2,80,79.7,79.9,79.6,79.4,79.1,78.8,77.9,77.1,74.9
